InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	2512260.14	654	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
1	759911.62	755	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
2	3746360.83	605	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
3	859361.8	964	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
4	4700802.81	672	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
5	-716926.24	856	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
6	1918381.54	557	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
7	2050827.5	623	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
8	947634.42	732	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
9	1608740.47	968	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
10	1076056.51	757	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
11	4727607.59	966	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
12	3005008.19	721	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
13	2786110.44	747	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
14	6791591.86	704	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
15	3382541.68	888	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
16	2145407.03	833	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
17	1801997.32	611	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
18	1109832.95	788	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
19	1166625.02	864	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
20	4305154.63	977	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
21	1717540.9	883	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
22	4794757.81	676	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
23	2240230.15	884	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
24	2288347.02	561	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
25	2787758.48	771	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
26	3361418.7	677	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
27	2873886.85	647	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
28	1661921.2	653	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
29	2693493.17	879	BACKWARD	AC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
