InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	2511475.71	669	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
1	757325.16	769	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
2	3744863.45	645	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
3	856050.68	1008	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
4	4694160.24	701	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
5	-709468.54	959	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
6	1918883.39	581	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
7	2053530.82	659	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
8	951743.26	756	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
9	1611423.13	1007	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
10	1079374.57	750	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
11	4736202.22	994	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
12	3000742.73	755	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
13	2794730.19	797	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
14	6790983.12	708	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
15	3387104.64	895	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
16	2155338.33	840	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
17	1803754.15	618	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
18	1105161.34	796	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
19	1157555.02	868	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
20	4306424.01	958	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
21	1709066.62	887	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
22	4800477.1	692	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
23	2247958.35	892	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
24	2285481.63	616	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
25	2784659.63	804	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
26	3359927.18	701	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
27	2872387.45	679	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
28	1659131.52	653	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
29	2691656.07	913	BACKWARD	CAC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
