InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	4302470.74	110	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
1	2027936.74	108	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
2	4999540.19	104	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
3	2200308.19	116	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
4	4944559.97	105	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
5	2111716.83	105	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
6	2501561.98	133	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
7	2078361.32	105	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
8	1681242.27	123	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
9	1880145.48	99	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
10	1147509.22	124	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
11	5581286.55	153	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
12	4594606	116	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
13	4295656.23	163	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
14	6924924.43	121	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
15	4278675.38	122	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
16	2392071.53	104	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
17	2395835.37	126	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
18	1898744.16	130	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
19	2911773.02	114	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
20	5130262.03	107	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
21	1768046.94	149	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
22	5470190.51	121	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
23	2432962.03	118	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
24	2351962.77	117	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
25	3978177.61	151	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
26	3381385.97	97	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
27	4087212.41	120	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
28	3235430.61	158	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
29	3682210.94	93	BACKWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
