InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	3358289.01	17	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
1	1780387.76	19	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
2	3888245.15	19	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
3	1705324.89	21	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
4	3938180.41	17	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
5	1509715.97	19	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
6	1846595.12	20	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
7	1526954.81	19	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
8	1336456.35	19	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
9	1420909.59	22	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
10	916447.7	21	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
11	4545697.73	22	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
12	3694792.21	19	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
13	3374151.42	20	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
14	5486672.35	20	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
15	3392577.3	19	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
16	2106105.71	20	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
17	1882469.27	19	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
18	1380443.45	17	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
19	2204240.49	20	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
20	4271168.14	22	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
21	1463781.56	22	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
22	4232575.34	19	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
23	1913640.77	21	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
24	1803283.51	24	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
25	3187093.01	20	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
26	2685340.05	19	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
27	3415518.06	19	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
28	2543436.94	21	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
29	2817818.32	21	BACKWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
