InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	4303209.92	49	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
1	2332161.18	52	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
2	5003711.95	44	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
3	2202032.22	265	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
4	4940719.34	77	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
5	2111490.46	52	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
6	2505106.58	53	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
7	2078148.94	50	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
8	1681503.4	58	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
9	1880853.09	67	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
10	1221920.2	53	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
11	5583589.13	56	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
12	4594903.53	110	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
13	4293739.78	50	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
14	6922824.9	55	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
15	4282346.27	51	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
16	2733921.08	100	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
17	2400285.41	53	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
18	1901034.63	104	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
19	2906390.72	100	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
20	5124912.98	67	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
21	2013751.49	130	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
22	5468455.23	48	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
23	2597967.8	68	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
24	2354016.74	52	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
25	3977923.28	66	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
26	3378277.76	54	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
27	4119443.32	47	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
28	3235684.47	66	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
29	3679320.66	75	BACKWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
