InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	4250943.43	349	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
1	2162480.15	474	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
2	4938317.35	559	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
3	2167568.4	536	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
4	4886839.52	600	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
5	2064655.3	655	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
6	2470097.3	556	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
7	2119319.11	647	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
8	1650942.31	545	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
9	1860192.59	475	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
10	1173060.41	676	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
11	5532354.65	493	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
12	4552929.17	671	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
13	4218371.78	485	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
14	6813584.27	683	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
15	4228300.73	614	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
16	2664813.21	652	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
17	2461582.39	427	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
18	1865492.32	646	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
19	2880662.34	663	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
20	5059354.43	700	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
21	1961109.19	448	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
22	5274082.57	551	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
23	2295385.49	484	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
24	2307442.05	606	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
25	3936470.77	609	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
26	3347574.55	657	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
27	4089313.94	479	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
28	3073957.65	543	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
29	3623051.02	639	BACKWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
