InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	4304329.67	168	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
1	2137923.05	151	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
2	5004872.07	107	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
3	2165618.94	122	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
4	4940649.77	124	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
5	2109879.33	113	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
6	2506412.62	147	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
7	2084154.76	152	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
8	1686174.93	128	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
9	1880560.24	156	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
10	1181360.71	116	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
11	5578676.59	92	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
12	4595083.11	186	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
13	4293136.12	133	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
14	6924927.96	142	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
15	4281012.5	108	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
16	2322149.72	105	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
17	2402601.81	100	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
18	1894778.45	95	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
19	2914100.91	91	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
20	5128144.7	96	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
21	1753678.17	108	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
22	5466975.03	106	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
23	2452649.47	95	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
24	2351052.19	111	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
25	3974769.23	89	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
26	3378063.74	112	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
27	4032420.58	84	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
28	3236942.03	100	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
29	3681134.05	99	FORWARD	CONTINUOUS_DSA	FINITE_HORIZON	10	0.0	0.9	10
