InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	3357910.6	20	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
1	1778971.49	18	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
2	3891995.93	17	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
3	1704177.88	22	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
4	3935071.12	21	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
5	1509840.23	20	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
6	1842776.7	20	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
7	1488053.03	22	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
8	1325991.99	20	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
9	1421907.97	23	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
10	912645.03	20	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
11	4543680.45	21	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
12	3695290.05	17	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
13	3373395.21	21	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
14	5489545.09	20	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
15	3391400.6	20	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
16	2105684.49	24	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
17	1881271.73	19	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
18	1379278.69	20	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
19	2204279.52	21	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
20	4271453.03	22	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
21	1454595.8	20	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
22	4229189.98	17	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
23	1908331.28	21	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
24	1808424.09	19	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
25	3189952.57	22	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
26	2687527.16	16	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
27	3411446.05	17	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
28	2545393.74	20	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
29	2812518.98	20	FORWARD	DPOP	FINITE_HORIZON	10	0.0	0.9	10
