InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	4300112.64	51	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
1	2333346.98	56	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
2	5004115.49	47	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
3	2193291.92	381	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
4	4944157.68	75	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
5	2113412.37	51	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
6	2506919.69	69	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
7	2089815.09	54	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
8	1679805.75	57	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
9	1882349.03	67	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
10	1215566.29	51	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
11	5582462.97	55	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
12	4591304.83	107	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
13	4291605.27	48	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
14	6923754.94	69	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
15	4282611.05	52	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
16	2736072.38	119	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
17	2405128.18	51	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
18	1895643.61	100	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
19	2910208.38	101	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
20	5132698.03	69	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
21	2011505.27	87	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
22	5473125	50	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
23	2399104.73	65	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
24	2354624.33	56	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
25	3972837.38	62	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
26	3379091.92	56	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
27	4029307.27	43	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
28	3234928.01	69	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
29	3677629.62	73	FORWARD	EC_DPOP	FINITE_HORIZON	10	0.0	0.9	10
