InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	4250641.36	338	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
1	2168903.72	312	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
2	4939428.14	322	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
3	2165470.61	546	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
4	4894949.83	631	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
5	2082219.38	616	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
6	2468463.12	364	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
7	2062119.25	633	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
8	1672469.78	628	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
9	1856417.35	541	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
10	1179321.05	678	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
11	5528417.42	755	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
12	4553245.88	578	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
13	4209580.88	647	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
14	6794864.49	723	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
15	4220688.15	711	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
16	2702155.75	584	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
17	2432058.64	357	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
18	1865996.21	685	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
19	2872838.43	689	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
20	5085560.95	606	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
21	1970236.38	357	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
22	5339735.14	529	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
23	2287140.18	316	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
24	2322269.19	501	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
25	3942913.09	695	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
26	3363078.04	726	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
27	4083148.73	459	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
28	3072412.97	354	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
29	3620490.74	559	FORWARD	HYBRID_MAXSUM	FINITE_HORIZON	10	0.0	0.9	10
